route_id,angle,num_holds,height,wall_type,hold_type,setter_experience,completion_rate,average_attempts,grade_v_scale
1,30,24,3.738208200734718,overhang,pinches,9,0.7489464259331828,7,7
2,70,16,2.1243671946302234,vertical,mixed,1,0.3093401971737667,3,15
3,50,8,3.7268464564887305,vertical,jugs,3,0.2885527628201138,2,16
4,40,20,3.2755071870681483,vertical,pinches,9,0.708525590740013,5,7
5,20,23,3.7996680875607827,vertical,mixed,2,0.3113175328341152,7,14
6,20,20,2.660937332734659,slab,mixed,4,,3,13
7,0,21,1.804514105569086,overhang,crimps,4,0.95,2,0
8,60,10,3.2193077544211683,vertical,pinches,2,0.30969052141672865,5,14
9,40,13,2.663269864914321,overhang,jugs,3,0.8984310143273845,7,5
10,50,12,2.075554653431614,vertical,mixed,3,0.8435597633487786,3,7
11,0,22,4.114386615755656,slab,jugs,1,0.9183845010971956,6,0
12,70,9,4.780990581713633,overhang,crimps,6,0.6794945394909447,3,4
13,50,17,2.86243885138036,overhang,pinches,8,0.5926960900171765,2,10
14,20,20,3.439383338222837,vertical,jugs,3,0.5952592477233127,2,8
15,20,12,3.2537715066561503,overhang,mixed,5,0.95,2,2
16,20,8,2.9728812624190377,overhang,mixed,1,,2,16
17,30,8,4.030989771110416,overhang,slopers,7,0.3947800591964822,3,12
18,40,22,4.308113168342895,vertical,crimps,1,0.8852840488988288,3,0
19,30,24,2.8051142485875165,vertical,slopers,9,0.8027404959090831,2,7
20,30,18,3.535813493675923,slab,crimps,8,0.2866316025915813,2,15
21,40,24,4.527626427147116,overhang,crimps,7,0.4793828799460429,4,12
22,20,20,4.051228962571978,vertical,mixed,7,0.95,4,2
23,30,8,4.170157950720391,vertical,crimps,5,0.251574164806917,2,16
24,30,9,4.594388245953931,slab,jugs,5,0.295407117125984,4,16
25,40,16,4.5838761378986,vertical,mixed,5,0.517093159017748,5,11
26,50,10,4.322914104242453,overhang,jugs,1,0.8495824511516092,4,5
27,20,8,3.615949931824945,overhang,crimps,8,0.5778244335510326,4,11
28,40,23,3.1940135860335266,vertical,mixed,1,0.8904886268745171,6,2
29,40,13,3.582782212250548,overhang,crimps,4,0.30636490614965184,3,16
30,0,24,3.072474651181305,vertical,pinches,9,0.8753220988476511,2,2
31,40,12,1.938010501591454,vertical,mixed,9,0.23973875930805558,2,14
32,20,12,3.276400747359968,overhang,mixed,5,0.6320100857398129,4,9
33,0,13,3.786020995069776,overhang,slopers,4,0.5767191760833068,3,14
34,60,10,3.030184465787057,overhang,jugs,3,0.7803780859308938,7,3
35,70,12,3.3457761702091138,overhang,crimps,3,0.22269702903972974,1,16
36,50,12,3.3767706272266143,vertical,mixed,5,0.387927222835626,4,12
37,30,17,4.585485419375111,vertical,mixed,1,0.8537091778723123,5,5
38,0,17,3.2124501807800785,vertical,slopers,5,0.43234854541964407,6,14
39,40,24,4.585306705746763,vertical,crimps,6,0.95,2,0
40,30,21,1.330007606521621,vertical,crimps,7,0.9081980938361035,3,0
